AreaTitle	AmphoraIdentifier	AmphoricTypeTitle	SimplifiedTranscription	FullTranscription	FindingPlaceLongitude	FindingPlaceLatitude	FindingPlaceTitle	CountryTitle
Alcolea del Río	12523	Dressel 20	PNN	PNN|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	12658	Dressel 20	DFN	|DFN|	-5.64613913717677	37.63719595406285	"junto a la carretera que conduce de Villanueva a Lora del Río, a mitad de camino entre ambas localidades, y junto al antiguo molino de La Peña de la Sal"	Spain
Alcolea del Río	12659	Dressel 20	CMM	|C·MM((amphora))|	-5.64613913717677	37.63719595406285	"junto a la carretera que conduce de Villanueva a Lora del Río, a mitad de camino entre ambas localidades, y junto al antiguo molino de La Peña de la Sal"	Spain
Alcolea del Río	12660	Dressel 20	CMM	CMM|	-5.64613913717677	37.63719595406285	"junto a la carretera que conduce de Villanueva a Lora del Río, a mitad de camino entre ambas localidades, y junto al antiguo molino de La Peña de la Sal"	Spain
Alcolea del Río	12969	Dressel 20	SALSA	"|SA·LSA|, bis impressum est"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	12980	Dressel 20	CANNIRVFINI	|CA^NN^IR^V^FI^N^I|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	12981	Dressel 20	CANNIRVFINI	|C·A^NN^I·R^V^FI^N^I|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	12983	Dressel 20	MNR & NNR	|M'NR| & |nNR|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	12987	Dressel 20	CICEL	|CI·CEL|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	12989	Dressel 20	CLODICIII	|CLODICIII|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	12991	Dressel 20	CSTLACC	|{C·}STLACC|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	12992	Dressel 20	STLA	"STLA, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	12995	Dressel 20	STATI	|STA^T^I|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	12996	Dressel 20	GST	|G·ST+	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13000	Dressel 20	GRATI	|GRATI|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13002	Dressel 20	LGG	|L·G·G|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13003	Dressel 20	LGG	|L·GG|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13008	Dressel 20	PNN	[P]N((signum))N·|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13009	Dressel 20	PNN	|PNN|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13010	Dressel 20	PNN	|PNN|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13011	Dressel 20	PNN	|Pnn|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13012	Dressel 20	PNN	|P·N·N|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13013	Dressel 20	PNN	|P''NN((palma))|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13014	Dressel 20	PN...	|((palma))PN+	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13015	Dressel 20	PNN	|PNN|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13016	Dressel 20	PNN?	[P]NN((palma))	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13017	Dressel 20	PNNF	|PNN^F|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13018	Dressel 20	PNN	|·P·NN|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13020	Dressel 20	PNNSIS	[P]N'NSIS|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13021	Dressel 20	PNNSIS	|PNNSIS|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13023	Dressel 20	PNNSIS	*ISIS*	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13031	Dressel 20	PNNF	[P]N'N'F|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13032	Dressel 20	PNNF	[PNN]F|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13033	Dressel 20	...NIII	*NIII|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13037	Dressel 20	PNN?	[P]N'N|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13039	Dressel 20	COR...	|COR*	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13041	Dressel 20	MIM	|MIM|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13045	Dressel 20	M...	|M*	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13059	Dressel 20	NPM	|NPM*	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13060	Dressel 20	DEF	|DEF|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13061	Dressel 20	DFF	|DFF|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13062	Dressel 20	DED	DED	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13064	Dressel 20	CM...	|C·M*	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13065	Dressel 20	CN...	|CN*	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13066	Dressel 20	...NFOI	*NFOI|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13070	Dressel 20	AV...	|AV·*	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13071	Dressel 20	POPVA	|[P]O''P[A]	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13072	Dressel 20	...R...	*[-]R*	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13077	Dressel 20	...ODV...	|ODV[-]|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13080	Dressel 20	...TIT	*TIT|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13081	Dressel 20	OC...	|OC*	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13084	Dressel 20	...RIV...	RIV	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13087	Dressel 20	CHR	CHR	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13095	Dressel 20	...PATI	*PATI|	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13098	Dressel 20	MMCS	*MMCS*	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13100	Dressel 20	MMCSV	|MMCSV|	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13101	Dressel 20	MMCSVR	*MMCSV^R|	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13102	Dressel 20	MMCSVR	*M~MC·S^V^R|	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13103	Dressel 20	MMCSAE & MMCSAPI	|MMC{S·}AP^I''|	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13106	Dressel 20	...CIM...	C·IM	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13107	Dressel 20	DEF	*DEF*	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13108	Dressel 20	DEF	|DEF(-)|	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13109	Dressel 20	PNN	|PNN|	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13110	Dressel 20	PNNF	|PNN^F|	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13114	Dressel 20	...CCLMM	*CLM^[M]*	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13116	Dressel 20	BCCLLIMI	|BCCLLM^I|	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13118	Dressel 20	IICCLLIMI	*IICCLLM^I|	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13119	Dressel 20	ELIMFP	|ELIMFP|	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13122	Dressel 20	PHIII	*P^HILI*	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13123	Dressel 20	NPHILO	N'P^HILO	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13145	Dressel 20	...SPSAE...	*SPSA^E*	-5.64613913717677	37.63719595406285	Alcolea del Río	Spain
Alcolea del Río	13151	Dressel 20	CSR	|C·S·R|	-5.64613913717677	37.63719595406285	Alcolea del Río	Spain
Alcolea del Río	13171	Dressel 20	BCLLM	"BCLLM, sine imagine"	-5.64613913717677	37.63719595406285	Alcolea del Río	Spain
Alcolea del Río	13172	Dressel 20	CANNIRVFINI	"CANNIRVFINI, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13173	Dressel 20	CANNIRFN	"CANNIRFN, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13174	Dressel 20	CN...	"CN+, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13189	Dressel 20	III	"III+, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13190	Dressel 20	N...	"N+, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13191	Dressel 20	N...	"N+, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13192	Dressel 20	N...	"N+, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13193	Dressel 20	N...	"N+, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13194	Dressel 20	PNN	"PNN, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13195	Dressel 20	AV	"AV, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13201	Dressel 20	PNN	"PNN, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13202	Dressel 20	PNN	"PNN, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13203	Dressel 20	PNN	"PNN, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13205	Dressel 20	SALSXX	"SALSXX, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13207	Dressel 20	III	"III, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13209	Dressel 20	CCELI	"CCELI, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13210	Dressel 20	PNN	"PNN, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13212	Dressel 20	...DL...	"+DL+, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13213	Dressel 20	PERSEV	"PERSEV, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13218	Dressel 20	PNN	"PNN, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13219	Dressel 20	CICELI	"CICELI, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13220	Dressel 20	PNN	|·P·N·N·|	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13223	Dressel 20	ME...	"ME+, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13224	Dressel 20	ES...	"ES+, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13225	Dressel 20	...IE...	"+IE+, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13226	Dressel 20	...IE...	"+IE+, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13228	Dressel 20	PNN	"PNN, sine imagine"	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13229	Dressel 20	PNN	"PNN, sine imagine"	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13230	Dressel 20	PNN	"PNN, sine imagine"	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13231	Dressel 20	PNN	"PNN, sine imagine"	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13232	Dressel 20	PNN	"PNN, sine imagine"	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13233	Dressel 20	PNN	"PNN, sine imagine"	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13234	Dressel 20	CCLM...	"CCLM+, sine imagine"	-5.64613913717677	37.63719595406285	El Tejarillo	Spain
Alcolea del Río	13238	Dressel 20	PNN	"PNN, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13239	Dressel 20	QFRSTSS	"QFRSTSS, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13240	Dressel 20	QFRSTSS	"QFRSTSS, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13241	Dressel 20	STP?	"STP?, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13246	Dressel 20	LQ...	"LQ+, sine imagine"	-5.64613913717677	37.63719595406285	Alcolea del Río	Spain
Alcolea del Río	13248	Dressel 20	PNN	"PNN, sine imagine"	-5.64613913717677	37.63719595406285	Alcolea del Río	Spain
Alcolea del Río	13249	Dressel 20	MMCSV	"MMCSV, sine imagine"	-5.64613913717677	37.63719595406285	Alcolea del Río	Spain
Alcolea del Río	13250	Dressel 20	...DED...?	"*DED+, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
Alcolea del Río	13251	Dressel 20	OE...	"OE`, sine imagine"	-5.64613913717677	37.63719595406285	Arva	Spain
