id;lat;long;type;site;code;name
7326;-0.580500000000000;44.840439000000003;Oberaden 74;Bordeaux;PHILODAMVS;Aquitania
33256;2.174100000000000;41.398370999999997;Dressel 2-4 Catalan;Barcelona;O;Tarraconensis
20958;4.032143000000000;46.926780000000001;Dressel 1;Mont-Beuvray;SIN;Lugdunensis
16637;-3.983333000000000;55.950000000000003;Dressel 20;Cumbernauld;PQ;Caledonia
33025;11.883333000000000;45.416666999999997;Dressel 6B;Padova;LAEK;Italia
16590;-1.983333000000000;51.733333000000002;Dressel 20;Cirencester;CPCAMO;Britannia
40133;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;DAMA;Italia
28008;1.903887000000000;47.902890999999997;Pascual 1;Orléans;M;Lugdunensis
39655;4.860743000000000;45.531592000000003;Dressel 20;Saint-Romain-en-Gal;CSEMPRONIPOLYCLITI;Narbonensis
20842;4.032143000000000;46.926780000000001;Dressel 1;Mont-Beuvray;GA;Lugdunensis
31676;14.966666999999999;46.649999999999999;Dressel 6B;Magdalensberg;PTOLEM;Noricum
8764;6.807625000000000;47.449210999999998;Dressel 20;Mandeure;EVRI;Germania Superior
10071;4.942851000000000;43.383543000000003;Gauloise 4;Golfe de Fos;MATVRI;Narbonensis
23707;-0.751789000000000;37.802242000000000;Lamboglia 2;San Pedro;VICTORIA;Tarraconensis
27985;8.645835000000000;50.159548000000001;Dressel 20;Nida-Heddernheim;LIVNIMELISSI;Germania Superior
27413;8.846132000000001;49.897382000000000;Dressel 20;Dieburg;ACIRGI;Germania Superior
23775;-0.986232000000000;37.605120999999997;Lamboglia 2;Cartagena;ALLAE;Tarraconensis
17486;3.117809000000000;42.139543000000003;Brindisian amphora;Ampurias;VEHIL;Tarraconensis
28359;-5.020370000000000;37.810701999999999;Dressel 20;Almodóvar del Río;LIBERALINI;Baetica
39634;4.873453000000000;45.524785000000001;Dressel 20;Vienne;CSP;Narbonensis
6137;3.110600000000000;43.803533000000002;Dressel 1;Ceilhes-et-Rocozels;ANT;Narbonensis
14260;6.685037000000000;51.198070999999999;Dressel 20;Neuss;ENNIORVMIVLIORVM;Germania Inferior
38126;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;VEHILI;Italia
6275;2.444503000000000;41.542113000000001;Pascual 1;Mataró;VERD;Tarraconensis
41090;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;VEHILIANA;Italia
36500;2.007994000000000;41.396144999999997;Dressel 2-4 Catalan;Sant Vicenç dels Horts;P;Tarraconensis
37504;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;VISELLI;Italia
27819;8.413845000000000;49.657494999999997;Augst 17;Hofheim;PONTICI;Germania Superior
39282;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;APOLLONI;Italia
15497;1.333333000000000;51.283332999999999;Dressel 20;Edinburgh;ACIRGI;Britannia
28040;2.400000000000000;47.083333000000003;Dressel 20;Bourges;SFE;Aquitania
40680;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;PILEMO;Italia
19539;6.735237000000000;43.432858000000003;Dressel 20;Fréjus;GERMIS;Narbonensis
17316;2.174100000000000;41.398370999999997;Pascual 1;Barcelona;AMANDI;Tarraconensis
19481;8.050000000000001;43.883333000000000;Dressel 2-4 Catalan;Imperia;CPF;Italia
30734;-0.093145000000000;51.514248000000002;Mortarium;London;VRBANVSTIBERF;Britannia
27390;8.115128000000000;49.746574000000003;Dressel 20;Alzey;CAEF;Germania Superior
27103;10.636991000000000;35.825387999999997;Operculum;Sousse (Hadrumetum);ALEXANDER;Africa Proconsularis
36165;13.500000000000000;43.633333000000000;Lamboglia 2;Ancona;CASTRA;Italia
35937;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;LMARCISATVR;Italia
8019;5.817642000000000;48.663156000000001;Dressel 20;Choloy;LIVNIMELISSI;Belgica
33849;11.250000000000000;42.500000000000000;Dressel 1C;Albinia;ARS;Italia
18605;9.254185000000000;41.341096000000000;Dressel 2-4 Catalan;Îles Lavezzi;VIC;Corsica et Sardinia
20855;4.032143000000000;46.926780000000001;Dressel 1;Mont-Beuvray;HF;Lugdunensis
35541;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;SCOPAS;Italia
17790;2.244789000000000;41.447144999999999;Dressel 2-4 Catalan;Badalona;NIIN;Tarraconensis
41016;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;ANINIANA;Italia
15567;0.900000000000000;51.883333000000000;Dressel 20;Colchester;CANTONIQVIETI;Britannia
19227;2.444503000000000;41.542113000000001;Dressel 2-4 Catalan;Mataró;AS;Tarraconensis
34621;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;APOLLONID;Italia
32230;1.139829000000000;41.076036000000002;Tegula;Salou;MPEIAV;Tarraconensis
20784;4.032143000000000;46.926780000000001;Dressel 1;Mont-Beuvray;AI;Lugdunensis
34627;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;APOLLONID;Italia
24432;4.032143000000000;46.926780000000001;Dressel 1;Mont-Beuvray;M;Lugdunensis
20166;5.941712000000000;43.117705000000001;Gauloise 4;Toulon;APM;Narbonensis
24601;4.846711000000000;45.748457000000002;Dressel 20;Lyon?;PATVIC;Lugdunensis
35220;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;HERMAISCI;Italia
40300;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;GLAVCI;Italia
36361;2.007994000000000;41.396144999999997;Pascual 1;Sant Vicenç dels Horts;F;Tarraconensis
32245;6.692361000000000;51.035167000000001;Dressel 20;Rommerskirchen;QVIN;Germania Inferior
4756;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;COTHPIX;Italia
24640;4.846711000000000;45.748457000000002;Dressel 20;Lyon?;TATILIASIATICI;Lugdunensis
41485;5.179773000000000;52.064312999999999;Dressel 20;Fort Vechten;CCRASSISEMNI;Germania Inferior
34665;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;APOLLONID;Italia
35367;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;LVKAON;Italia
23595;-0.751789000000000;37.802242000000000;Lamboglia 2;San Pedro;ABAR;Tarraconensis
38008;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;PVEBAL;Italia
7121;-5.527510000000000;37.658960999999998;Dressel 20;Lora del Río;LSERLVPI;Baetica
39767;4.636331000000000;43.681659000000003;Dressel 20;Arles;PNN;Narbonensis
36549;2.007994000000000;41.396144999999997;Pascual 1;Sant Vicenç dels Horts;PR;Tarraconensis
28370;12.283333000000001;41.750000000000000;Dressel 20;Ostia Antica;QIA;Italia
37280;17.850000000000001;40.683332999999998;Brindisian amphora;Canale Giancola;DEMETRI;Italia
21071;3.518690000000000;47.461182999999998;Dressel 1;Entrains-sur-Nohain;BARC;Lugdunensis
37239;10.166667000000000;42.783332999999999;Amphora incerta;Marciana;CPC;Italia
40521;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;MENOPILVS;Italia
20750;4.032143000000000;46.926780000000001;Dressel 1;Mont-Beuvray;AC;Lugdunensis
10243;4.942851000000000;43.383543000000003;Dressel 20;Golfe de Fos;PSAVITI;Narbonensis
4801;16.728332999999999;43.140833000000001;Lamboglia 2;Hvar;CIA;Dalmatia
34319;11.983333000000000;42.649999999999999;Amphora incerta;Bolsena;VTHPVLROG;Italia
39369;3.443291000000000;43.280977000000000;Dressel 20;Hérault;TATILIASIATICI;Narbonensis
25513;-8.501922000000000;39.288806000000001;Brindisian amphora;Santarém;MENA;Lusitania
32754;11.883333000000000;45.416666999999997;Dressel 6B;Padova;LAEHLAEKB;Italia
33209;2.174100000000000;41.398370999999997;Pascual 1;Barcelona;EPAPR;Tarraconensis
24799;4.873453000000000;45.524785000000001;Dressel 20;Vienne;LFO;Narbonensis
27594;8.645835000000000;50.159548000000001;Dressel 20;Nida-Heddernheim;LQS;Germania Superior
19027;8.279095999999999;49.984188000000003;Dressel 20;Mainz;CMM;Germania Superior
38805;-5.082599000000000;37.542203000000001;Dressel 20;Écija;ROMANI;Baetica
33793;11.250000000000000;42.500000000000000;Amphora incerta;Albinia;APEL;Italia
10718;3.008816000000000;43.184417000000003;Pascual 1;Narbonne;F;Narbonensis
8350;5.265397000000000;44.690916999999999;Amphora incerta;Roanne;AI;Narbonensis
10553;12.393333000000000;45.544443999999999;Lamboglia 2;Altino;EPICA;Italia
5298;3.104371000000000;42.517594000000003;Dressel 20;Port-Vendres;CSEMPRONIPOLYCLITI;Narbonensis
16345;-2.016667000000000;54.966667000000001;Dressel 20;Corbridge;PMPM;Britannia
25814;14.514443999999999;46.055278000000001;Dressel 6B;Ljubljana (Emona);CALCRISPINILLAE;Italia
17543;3.117809000000000;42.139543000000003;Dressel 8;Ampurias;ANTH;Tarraconensis
17398;4.846711000000000;45.748457000000002;Dressel 20;Lyon?;PSAVITI;Lugdunensis
40264;17.933333000000001;40.633333000000000;Brindisian amphora;Brindisi;HPAIOC;Italia
6475;29.955266000000002;31.215644999999999;Dressel 20;Alexandria;ASVLEIANESE;Aegyptus
4819;11.650000000000000;45.233333000000002;Dressel 6B;Este;HADAVG;Italia
