id,name
0,Villar de Brenes
1,Adelfa
2,Las Delicias
3,Villar Tesoro
4,Alcotrista
5,El Tejarillo
6,Azanaque-Castillejo
7,Isla del Castillo
8,Arva
9,El Marchante
10,Doña Mencia
11,La Catria
12,Cortijo del Guerra
13,Huerta del Río
14,Cortijo de La Sesenta
15,La María
16,Tierras del Judío
17,Malpica
18,Malpica Sur
19,Huertas de Belén
20,Cerro de los Pesebres
21,La Dehesilla
22,Casa del Encinarejo
23,Cortijo de Romero
24,La Corregidora
25,Villaseca
26,Mingaobez
27,Dehesa de Arriba
28,El Temple (Este)
29,El Temple
