id,name
0,Sevilla
1,San Luis (SE)
2,Parlamento
3,Cruz Verde
4,Villar de Brenes
5,Guadajoz
6,Adelfa
7,Juan Barba
8,Las Delicias
9,Villar Tesoro
10,Mejía
11,Tostoneras
12,Alcotrista
13,El Tejarillo
14,Azanaque-Castillejo
15,Isla del Castillo
16,Arva
17,Cortijo del Alamo Alto
18,El Judío
19,Cortijo de los Mochales
20,El Marchante
21,Las Ánimas
22,Àlamo Alto
23,Doña Mencia
24,El Tesorillo de Doña Mencia
25,Catria Alta
26,La Catria
27,Tarancón
28,Tarancón Oeste
29,La Estacada de Herrera
30,Madre Vieja 1
31,Madre Vieja 2
32,Las Valbuenas
33,La Ramblilla
34,Cortijo del Guerra
35,Huerta del Río
36,Cortijo de La Sesenta
37,Haza del Olivo
38,La María
39,Cortijo del Judío  (oeste)
40,Tierras del Judío
41,Malpica
42,La Mayena
43,El Berro 2
44,Malpica Sur
45,La Graja
46,Madueño
47,Casas del Picón
48,El Portillo
49,Huertas de Belén
50,Cortijo de Bramadero
51,Cerro de los Pesebres
52,Villacisneros
53,La Dehesilla
54,Picachos
55,Barranco del Picacho
56,Casa del Encinarejo
57,Cortijo de Romero
58,La Corregidora
59,La Estrella
60,La Umbría de Moratalla
61,Casa del Guarda
62,Villaseca
63,Almodóvar
64,Mingaobez
65,Cortijo Nuevo
66,Dehesa de Arriba
67,El Temple (Este)
68,El Temple
