id,name
0,Sevilla
1,San Luis (SE)
2,Parlamento
3,Cruz Verde
4,Villar de Brenes
5,Guadajoz
6,Adelfa
7,Juan Barba
8,Las Delicias
9,Los Villares
10,Villar Tesoro
11,Mejía
12,Tostoneras
13,Alcotrista
14,El Tejarillo
15,Azanaque-Castillejo
16,Peña de la Sal
17,Isla del Castillo
18,Arva
19,Chorrillo
20,Cortijo del Alamo Alto
21,El Judío
22,Lora la Vieja
23,Cortijo de los Mochales
24,El Marchante
25,Las Ánimas
26,Àlamo Alto
27,Doña Mencia
28,El Tesorillo de Doña Mencia
29,Los Mochales
30,Catria Alta
31,La Catria
32,Villa Clara
33,Tarancón
34,Tarancón Oeste
35,La Estacada de Herrera
36,Madre Vieja 1
37,Las Valbuenas
38,El Acebuchal
39,La Ramblilla
40,Cortijo del Guerra
41,Huerta del Río
42,La Rambla
43,Cortijo de La Sesenta
44,Las Sesenta
45,Haza del Olivo
46,La María
47,Cortijo del Judío  (oeste)
48,Cortijo de Villalata
49,Tierras del Judío
50,Malpica
51,La Mayena
52,El Berro 2
53,Malpica Sur
54,Madueño
55,Casas del Picón
56,El Portillo
57,Huertas de Belén
58,Cortijo de Bramadero
59,La Coscoja
60,El castillejo
61,Cerro de los Pesebres
62,Villacisneros
63,La Dehesilla
64,Picachos
65,Barranco del Picacho
66,Casa del Encinarejo
67,Cortijo de Romero
68,La Corregidora
69,La Estrella
70,Antonio Serrano
71,La Umbría de Moratalla
72,Villaseca
73,Almodóvar
74,Rodriguillo
75,Mingaobez
76,Cortijo Nuevo
77,Dehesa de Arriba
78,El Temple (Este)
79,El Temple
80,Guadiato
