id,name
0,San Luis (SE)
1,Parlamento
2,Villar de Brenes
3,Guadajoz
4,Adelfa
5,Juan Barba
6,Las Delicias
7,Villar Tesoro
8,Mejía
9,Tostoneras
10,Alcotrista
11,El Tejarillo
12,Azanaque-Castillejo
13,Isla del Castillo
14,Arva
15,Cortijo del Alamo Alto
16,El Judío
17,Cortijo de los Mochales
18,El Marchante
19,Las Ánimas
20,Àlamo Alto
21,Doña Mencia
22,El Tesorillo de Doña Mencia
23,Catria Alta
24,La Catria
25,Tarancón
26,Tarancón Oeste
27,La Estacada de Herrera
28,Madre Vieja 2
29,Las Valbuenas
30,La Ramblilla
31,Cortijo del Guerra
32,Huerta del Río
33,Cortijo de La Sesenta
34,Haza del Olivo
35,La María
36,Cortijo del Judío  (oeste)
37,Tierras del Judío
38,Malpica
39,La Mayena
40,El Berro 2
41,Malpica Sur
42,La Graja
43,Madueño
44,Casas del Picón
45,El Portillo
46,Huertas de Belén
47,Cortijo de Bramadero
48,Cerro de los Pesebres
49,Villacisneros
50,La Dehesilla
51,Picachos
52,Barranco del Picacho
53,Casa del Encinarejo
54,Cortijo de Romero
55,La Corregidora
56,La Estrella
57,La Umbría de Moratalla
58,Casa del Guarda
59,Villaseca
60,Almodóvar
61,Mingaobez
62,Cortijo Nuevo
63,Dehesa de Arriba
64,El Temple (Este)
65,El Temple
