id,name
0,Sevilla
1,San Luis (SE)
2,Parlamento
3,Hacienda del Corzo
4,Cruz Verde
5,Villar de Brenes
6,Guadajoz
7,Adelfa
8,Juan Barba
9,Las Delicias
10,Los Villares
11,Villar Tesoro
12,Mejía
13,Tostoneras
14,Alcotrista
15,Alcala del Río
16,El Tejarillo
17,Azanaque-Castillejo
18,Peña de la Sal
19,Isla del Castillo
20,Arva
21,Chorrillo
22,Cortijo del Alamo Alto
23,El Judío
24,Lora la Vieja
25,Cortijo de los Mochales
26,El Marchante
27,Las Ánimas
28,Àlamo Alto
29,Doña Mencia
30,El Tesorillo de Doña Mencia
31,Los Mochales
32,Catria Alta
33,La Catria
34,Villa Clara
35,Tarancón
36,Tarancón Oeste
37,La Estacada de Herrera
38,Madre Vieja 1
39,Madre Vieja 2
40,Las Valbuenas
41,El Acebuchal
42,La Ramblilla
43,Cortijo del Guerra
44,Manuel Nieto
45,Huerta del Río
46,La Rambla
47,Cortijo de La Sesenta
48,Las Sesenta
49,Haza del Olivo
50,La María
51,Cortijo del Judío  (oeste)
52,Cortijo de Villalata
53,Tierras del Judío
54,Malpica
55,La Mayena
56,El Berro 2
57,Malpica Sur
58,La Graja
59,Madueño
60,Casas del Picón
61,El Portillo
62,La Botica
63,Las Monjas
64,El Tesoro
65,Fuente Pasa
66,Huertas de Belén
67,Cortijo de Bramadero
68,La Coscoja
69,El Mohino
70,Isla de la Jurada
71,El castillejo
72,Cerro de los Pesebres
73,Cerro de los Vuelos
74,Villacisneros
75,La Dehesilla
76,Picachos
77,Barranco del Picacho
78,Soto del Rey
79,Casa del Encinarejo
80,Cortijo de Romero
81,La Corregidora
82,La Estrella
83,Antonio Serrano
84,La Umbría de Moratalla
85,Casa del Guarda
86,Villaseca
87,Almodóvar
88,Rodriguillo
89,Mingaobez
90,Cortijo Nuevo
91,Dehesa de Arriba
92,El Temple (Este)
93,El Temple
94,Guadiato
