AmphoraIdentifier,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionPlaceTitle,,,,,,,,,
14081,14081,Dressel 20,Aachen,Armseelenkapelle des Münsters,50.774122,6.084726,"ACIRGI, sine imagine",ACIRGI,,Itálica,,,,,,,,,
13944,13944,Dressel 20,Adenau,Adenau,50.382382,6.93291,"GAF, sine imagine",GAF,,Azanaque-Castillejo,,,,,,,,,
14086,14086,Dressel 20,Adenau,Kr. Ahrweiler,50.382382,6.93291,"ACIRGI, sine imagine",ACIRGI,,Itálica,,,,,,,,,
14036,14036,Dressel 20,Altenstadt,"a. 1955/1956, Kastell, Fl. 11, innerer Werhgraben, Periode 5, steth noch in Periode 6 offen.",50.28721,8.944586,C·A^N^T·QVI*,CANTQVIETI,,,,,,,,,,,
14227,14227,Dressel 20,Altenstadt,"a. 1955/1956, Kastell, Fl.. 12, Planierschicht 8, Periode 4.",50.28721,8.944586,|pCLI·CELI'|,PCLICELI,,Arva,,,,,,,,,
14356,14356,Dressel 20,Altenstadt,"a. 1955/1956, Kastell.",50.28721,8.944586,|LFFV|,LFFV,,La Mallena,,,,,,,,,
14356,14356,Dressel 20,Altenstadt,"a. 1955/1956, Kastell.",50.28721,8.944586,|LFFV|,LFFV,,Villar de Brenes,,,,,,,,,
14428,14428,Dressel 20,Altenstadt,"a. 1955/1956, Kastell, Fl.7, Keller 28.",50.28721,8.944586,|QIAF'S'|,QIAFS,,Malpica,,,,,,,,,
14435,14435,Dressel 20,Altenstadt,"a. 1955/1956, Kastell, Fläche 11, Grube 63.",50.28721,8.944586,|QI''A'F''(-),QIAFS?,,Malpica,,,,,,,,,
27368,27368,Dressel 20,Altenstadt,"a. 1955/1956, Kastell.",50.28721,8.944586,|F·L·Q''[R],FLQR,,,,,,,,,,,
27369,27369,Dressel 20,Altenstadt,"a. 1955/1956, Kastell.",50.28721,8.944586,ilegibile,?,,,,,,,,,,,
27370,27370,Dressel 20,Altenstadt,"a. 1955/1956, Kastell, wohl aus Grube, die in äusseren Wehrgraben in Periode 5 einschinitt.",50.28721,8.944586,ilegibile,?,,,,,,,,,,,
14282,14282,Dressel 20,Altkalkar,"Burginatium, Kalkar, Kr.Kleve",51.733333,6.283333,"LFC, sine imagine",LFC,,Alcotrista,,,,,,,,,
14370,14370,Dressel 20,Altkalkar,"Burginatium, Kalkar, Kr.Kleve",51.733333,6.283333,"LFO, sine imagine",LFO,,Sevilla,,,,,,,,,
18861,18861,Dressel 20,Altkalkar,Altkalkar,51.733333,6.283333,|SAXOFERRI|,SAXOFERRI,,,,,,,,,,,
18862,18862,Dressel 20,Altkalkar,Altkalkar,51.733333,6.283333,|TA^TASIATIC'C'I|,TATASIATICI,,Adelfa,,,,,,,,,
18862,18862,Dressel 20,Altkalkar,Altkalkar,51.733333,6.283333,|TA^TASIATIC'C'I|,TATASIATICI,,Guadajoz,,,,,,,,,
18862,18862,Dressel 20,Altkalkar,Altkalkar,51.733333,6.283333,|TA^TASIATIC'C'I|,TATASIATICI,,Juan Barba,,,,,,,,,
18863,18863,Dressel 20,Altkalkar,Altkalkar,51.733333,6.283333,|QIA!F,QIAF,,,,,,,,,,,
27386,27386,Dressel 20,Alzey,Kastell.,49.746574,8.115128,|Q'I''AF''[S],QIAFS,,Malpica,,,,,,,,,
