id,lat,long,type,site,code,country,locationtype
15599,51.833333,-3.016667,Dressel 20,Abergavenny,CANTONIQVIETI,UK,Military Camp
16814,51.833333,-3.016667,Dressel 20,Abergavenny,SAENIANES,UK,Military Camp
16376,54.416667,-2.966667,Dressel 20,Ambleside,QMR,UK,Military Camp
15814,55.958056,-4.064722,Dressel 20,Bar Hill,MMACSV,UK,Military Camp
16450,55.958056,-4.064722,Dressel 20,Bar Hill,GNAPCO,UK,Military Camp
16499,55.958056,-4.064722,Dressel 20,Bar Hill,SNR,UK,Military Camp
16778,55.958056,-4.064722,Dressel 20,Bar Hill,LSPBOEQ,UK,Military Camp
17083,55.958056,-4.064722,Dressel 20,Bar Hill,VIRAV,UK,Military Camp
17084,55.958056,-4.064722,Dressel 20,Bar Hill,VIRGINENSIA,UK,Military Camp
17200,55.958056,-4.064722,Dressel 20,Bar Hill,M,UK,Military Camp
17205,55.958056,-4.064722,Dressel 20,Bar Hill,MMC,UK,Military Camp
17217,55.958056,-4.064722,Dressel 20,Bar Hill,SA,UK,Military Camp
16500,55.916667,-4.35,Dressel 20,Bearsden,SNR,UK,Military Camp
16539,55.916667,-4.35,Dressel 20,Bearsden,DOMS,UK,Military Camp
16544,55.916667,-4.35,Dressel 20,Bearsden,DOMS,UK,Military Camp
17195,55.916667,-4.35,Dressel 20,Bearsden,I,UK,Military Camp
16004,54.383333,-3.283333,Dressel 20,Beckfoot,MFF,UK,Military Camp
15704,55.066667,-3.233333,Dressel 20,Birrens,LCANTP,UK,Military Camp
15748,55.066667,-3.233333,Dressel 20,Birrens,LCFPC,UK,Military Camp
16372,55.066667,-3.233333,Dressel 20,Birrens,MMRQ,UK,Military Camp
16551,55.066667,-3.233333,Dressel 20,Birrens,DOMS,UK,Military Camp
16877,55.066667,-3.233333,Dressel 20,Birrens,SCAVE,UK,Military Camp
17110,55.066667,-3.233333,Dressel 20,Birrens,AR,UK,Military Camp
17197,55.066667,-3.233333,Dressel 20,Birrens,LFI,UK,Military Camp
15391,53.216667,-3.833333,Dressel 20,Caerhûn,GAF,UK,Military Camp
16018,53.216667,-3.833333,Dressel 20,Caerhûn,LFO,UK,Military Camp
16307,53.216667,-3.833333,Dressel 20,Caerhûn,ALFO,UK,Military Camp
16617,53.216667,-3.833333,Dressel 20,Caerhûn,PASSERAR,UK,Military Camp
16870,53.216667,-3.833333,Dressel 20,Caerhûn,SCALENSIA,UK,Military Camp
15386,51.613333,-2.958889,Dressel 20,Caerleon,MAC,UK,Military Camp
15393,51.613333,-2.958889,Dressel 20,Caerleon,GAF,UK,Military Camp
