AmphoraIdentifier,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionPlaceTitle,LocationTypeTitle
15599,15599,Dressel 20,Abergavenny,Abergavenny,51.833333,-3.016667,|CA^N^T'[ONIQVIETI],CANTONIQVIETI,,Alcolea del Río,Military Camp
16814,16814,Dressel 20,Abergavenny,Abergavenny,51.833333,-3.016667,|SAEN^IA^N^E'S'*,SAENIANES...,,,Military Camp
30796,30796,Dressel 20,Alphen aan den Rijn,Alphen aan den Rijn,52.135141,4.654932,|CHRYS|,CHRYS,,Villar de Brenes,Military Camp
30797,30797,Dressel 20,Alphen aan den Rijn,Alphen aan den Rijn,52.135141,4.654932,|MAXC|,MAXC,,,Military Camp
30798,30798,Dressel 20,Alphen aan den Rijn,Alphen aan den Rijn,52.135141,4.654932,|MFQF|,MFQF,,Malpica Sur,Military Camp
30799,30799,Dressel 20,Alphen aan den Rijn,Alphen aan den Rijn,52.135141,4.654932,|POR·PSG'|,PORPSG,,,Military Camp
30800,30800,Dressel 20,Alphen aan den Rijn,Alphen aan den Rijn,52.135141,4.654932,|QFC|,QFC,,Peñaflor,Military Camp
18861,18861,Dressel 20,Altkalkar,Altkalkar,51.733333,6.283333,|SAXOFERRI|,SAXOFERRI,,,Military Camp
18862,18862,Dressel 20,Altkalkar,Altkalkar,51.733333,6.283333,|TA^TASIATIC'C'I|,TATASIATICI,,Adelfa,Military Camp
18862,18862,Dressel 20,Altkalkar,Altkalkar,51.733333,6.283333,|TA^TASIATIC'C'I|,TATASIATICI,,Guadajoz,Military Camp
18862,18862,Dressel 20,Altkalkar,Altkalkar,51.733333,6.283333,|TA^TASIATIC'C'I|,TATASIATICI,,Juan Barba,Military Camp
18863,18863,Dressel 20,Altkalkar,Altkalkar,51.733333,6.283333,|QIA!F,QIAF,,,Military Camp
16376,16376,Dressel 20,Ambleside,Ambleside,54.416667,-2.966667,"QMR, sine imagine",QMR,,,Military Camp
20642,20642,Dressel 20,Arbon,Arbon,47.515392,9.434779,|[F]ALB·LIC,FALBLIC,,Villar Tesoro,Military Camp
14152,14152,Dressel 20,Bad Cannstatt,Bad Cannstatt,48.805827,9.241809,"MCFRICD, sine imagine",MCFRICD,,,Military Camp
14294,14294,Dressel 20,Bad Cannstatt,Bad Cannstatt,48.805827,9.241809,"LFFCV, sine imagine",LFCCV?,,Dehesilla,Military Camp
14298,14298,Dressel 20,Bad Cannstatt,Bad Cannstatt,48.805827,9.241809,|LFCCVFC|,LFCCVFC,,,Military Camp
14804,14804,Dressel 20,Bad Cannstatt,Bad Cannstatt,48.805827,9.241809,|L·Q·S|,LQS,,Alcolea del Río,Military Camp
14993,14993,Dressel 20,Bad Cannstatt,Bad Cannstatt,48.805827,9.241809,"VIRAV, sine imagine",VIRAV,,Villar de Brenes,Military Camp
14410,14410,Dressel 20,Bad Kreuznach,Bad Kreuznach,49.841396,7.867127,|HISPSA^E+,HISPSAE,,,Military Camp
13970,13970,Dressel 20,Bad Wimpfen,Bad Wimpfen,49.229708,9.156485,|L·A*,LA...,,,Military Camp
13981,13981,Dressel 20,Bad Wimpfen,Bad Wimpfen,49.229708,9.156485,|CAS|,CAS...,,El Judío,Military Camp
14090,14090,Dressel 20,Bad Wimpfen,Bad Wimpfen,49.229708,9.156485,|AC'I/|RCI,ACIRGI,,,Military Camp
