"","id","lat","long","type","site","code","country","locationtype"
"4",14152,48.805827,9.241809,"Dressel 20","Bad Cannstatt","MCFRICD","Germany","Military Camp"
"5",14294,48.805827,9.241809,"Dressel 20","Bad Cannstatt","LFFCV","Germany","Military Camp"
"6",14298,48.805827,9.241809,"Dressel 20","Bad Cannstatt","LFCCVFC","Germany","Military Camp"
"7",14804,48.805827,9.241809,"Dressel 20","Bad Cannstatt","LQS","Germany","Military Camp"
"8",14993,48.805827,9.241809,"Dressel 20","Bad Cannstatt","VIRAV","Germany","Military Camp"
"10",13970,49.229708,9.156485,"Dressel 20","Bad Wimpfen","LA","Germany","Military Camp"
"11",13981,49.229708,9.156485,"Dressel 20","Bad Wimpfen","CAS","Germany","Military Camp"
"12",14090,49.229708,9.156485,"Dressel 20","Bad Wimpfen","ACIRCI","Germany","Military Camp"
"13",14312,49.229708,9.156485,"Dressel 20","Bad Wimpfen","LFCCVFS","Germany","Military Camp"
"14",14418,49.229708,9.156485,"Dressel 20","Bad Wimpfen","QHEDERAIHEDERAA","Germany","Military Camp"
"15",14529,49.229708,9.156485,"Dressel 20","Bad Wimpfen","LIT","Germany","Military Camp"
"16",14739,49.229708,9.156485,"Dressel 20","Bad Wimpfen","PORODV","Germany","Military Camp"
"17",20658,49.229708,9.156485,"Dressel 20","Bad Wimpfen","LFCCVCAT","Germany","Military Camp"
"21",14038,50.73438,7.095485,"Dressel 20","Bonn","CANTQVIETI","Germany","Military Camp"
"22",14220,50.73438,7.095485,"Dressel 20","Bonn","IICAMILIMELISSI","Germany","Military Camp"
"23",14303,50.73438,7.095485,"Dressel 20","Bonn","LFCCVFCM","Germany","Military Camp"
"24",14349,50.73438,7.095485,"Dressel 20","Bonn","DFF","Germany","Military Camp"
"25",14449,50.73438,7.095485,"Dressel 20","Bonn","CIALB","Germany","Military Camp"
"26",14565,50.73438,7.095485,"Dressel 20","Bonn","LIVNIMELISSI","Germany","Military Camp"
"27",14584,50.73438,7.095485,"Dressel 20","Bonn","IIIVNMELISSIETMELISSE","Germany","Military Camp"
"28",14585,50.73438,7.095485,"Dressel 20","Bonn","IIIVNMELISSIETMELISSE","Germany","Military Camp"
"29",14622,50.73438,7.095485,"Dressel 20","Bonn","GMMF","Germany","Military Camp"
"30",14651,50.73438,7.095485,"Dressel 20","Bonn","PMSC","Germany","Military Camp"
"31",14690,50.73438,7.095485,"Dressel 20","Bonn","PNN","Germany","Military Camp"
"32",14693,50.73438,7.095485,"Dressel 20","Bonn","PNN","Germany","Military Camp"
"33",14707,50.73438,7.095485,"Dressel 20","Bonn","SEXN","Germany","Military Camp"
"34",14803,50.73438,7.095485,"Dressel 20","Bonn","LQS","Germany","Military Camp"
"35",14848,50.73438,7.095485,"Dressel 20","Bonn","PORPS","Germany","Military Camp"
"36",14904,50.73438,7.095485,"Dressel 20","Bonn","ASAENI","Germany","Military Camp"
"37",14917,50.73438,7.095485,"Dressel 20","Bonn","SAXOFERREO","Germany","Military Camp"
"38",14922,50.73438,7.095485,"Dressel 20","Bonn","SAXFERRIVS","Germany","Military Camp"
"39",14928,50.73438,7.095485,"Dressel 20","Bonn","SCALCELS","Germany","Military Camp"
"40",14995,50.73438,7.095485,"Dressel 20","Bonn","VIR","Germany","Military Camp"
"41",17921,50.73438,7.095485,"Dressel 20","Bonn","CIVENALBEP","Germany","Military Camp"
"42",20477,50.73438,7.095485,"Dressel 20","Bonn","GAF","Germany","Military Camp"
"47",13960,50.3249,8.7409,"Dressel 20","Friedberg","SALS","Germany","Military Camp"
"48",14085,50.3249,8.7409,"Dressel 20","Friedberg","ACIRG","Germany","Military Camp"
"49",14490,50.3249,8.7409,"Dressel 20","Friedberg","QIMFN","Germany","Military Camp"
"50",14656,50.3249,8.7409,"Dressel 20","Friedberg","PMV","Germany","Military Camp"
"51",14860,50.3249,8.7409,"Dressel 20","Friedberg","CSP","Germany","Military Camp"
"52",14879,50.3249,8.7409,"Dressel 20","Friedberg","QSASER","Germany","Military Camp"
"53",14955,50.3249,8.7409,"Dressel 20","Friedberg","LVC","Germany","Military Camp"
"54",14999,50.3249,8.7409,"Dressel 20","Friedberg","VRSI","Germany","Military Camp"
"64",27737,50.236768,8.862251,"Dressel 20","Hedelbergen","DFN","Germany","Military Camp"
"65",27745,50.236768,8.862251,"Dressel 20","Hedelbergen","CIALBANIC","Germany","Military Camp"
"66",27746,50.236768,8.862251,"Dressel 20","Hedelbergen","ILEGIBILE","Germany","Military Camp"
"67",27747,50.236768,8.862251,"Dressel 20","Hedelbergen","RVFIPO","Germany","Military Camp"
"68",27749,50.236768,8.862251,"Dressel 20","Hedelbergen","PCLODIICELI","Germany","Military Camp"
"69",27750,50.236768,8.862251,"Dressel 20","Hedelbergen","QIM","Germany","Military Camp"
"70",27751,50.236768,8.862251,"Dressel 20","Hedelbergen","PANRVF","Germany","Military Camp"
"71",27752,50.236768,8.862251,"Dressel 20","Hedelbergen","LFO","Germany","Military Camp"
"75",13939,50.933333,6.95,"Dressel 20","Köln","MAC","Germany","Military Camp"
"76",13975,50.933333,6.95,"Dressel 20","Köln","MAR","Germany","Military Camp"
"77",14015,50.933333,6.95,"Dressel 20","Köln","CANTONIQVIETIPALMA","Germany","Military Camp"
"78",14026,50.933333,6.95,"Dressel 20","Köln","CANTONIQVIETI","Germany","Military Camp"
"79",14065,50.933333,6.95,"Dressel 20","Köln","LAVRGER","Germany","Military Camp"
"80",14070,50.933333,6.95,"Dressel 20","Köln","ACIRGI","Germany","Military Camp"
"81",14076,50.933333,6.95,"Dressel 20","Köln","ACIRGIF","Germany","Military Camp"
"82",14119,50.933333,6.95,"Dressel 20","Köln","BVCCI","Germany","Military Camp"
"83",14140,50.933333,6.95,"Dressel 20","Köln","QCCL","Germany","Military Camp"
"84",14144,50.933333,6.95,"Dressel 20","Köln","QCCL","Germany","Military Camp"
"85",14215,50.933333,6.95,"Dressel 20","Köln","QCAESINIGRI","Germany","Military Camp"
"86",14218,50.933333,6.95,"Dressel 20","Köln","IICAMILIMELISSI","Germany","Military Camp"
"87",14234,50.933333,6.95,"Dressel 20","Köln","CALPC","Germany","Military Camp"
"88",14286,50.933333,6.95,"Dressel 20","Köln","LFCCOL","Germany","Military Camp"
"89",14302,50.933333,6.95,"Dressel 20","Köln","LFCCVFCM","Germany","Military Camp"
"90",14313,50.933333,6.95,"Dressel 20","Köln","LFCCVFSCAL","Germany","Military Camp"
"91",14326,50.933333,6.95,"Dressel 20","Köln","QFC","Germany","Military Camp"
"92",14346,50.933333,6.95,"Dressel 20","Köln","DFF","Germany","Military Camp"
"93",14346,50.933333,6.95,"Dressel 20","Köln","PNN","Germany","Military Camp"
"94",14392,50.933333,6.95,"Dressel 20","Köln","FELICIS","Germany","Military Camp"
"95",14393,50.933333,6.95,"Dressel 20","Köln","PHILEROTI","Germany","Military Camp"
"96",14476,50.933333,6.95,"Dressel 20","Köln","MIMOPSI","Germany","Military Camp"
"97",14513,50.933333,6.95,"Dressel 20","Köln","PIRP","Germany","Military Camp"
"98",14518,50.933333,6.95,"Dressel 20","Köln","SISEN","Germany","Military Camp"
"99",14563,50.933333,6.95,"Dressel 20","Köln","LHEDERAIHEDERAMELISSIHEDERACI","Germany","Military Camp"
"100",14573,50.933333,6.95,"Dressel 20","Köln","IIIVNIMELISSIETMELISSEHEDERA","Germany","Military Camp"
"101",14576,50.933333,6.95,"Dressel 20","Köln","IIIVNIMELISSIETMELISSE","Germany","Military Camp"
"102",14609,50.933333,6.95,"Dressel 20","Köln","IICLLM","Germany","Military Camp"
"103",14615,50.933333,6.95,"Dressel 20","Köln","CMM","Germany","Military Camp"
"104",14686,50.933333,6.95,"Dressel 20","Köln","PNNF","Germany","Military Camp"
"105",14710,50.933333,6.95,"Dressel 20","Köln","DOMS","Germany","Military Camp"
"106",14735,50.933333,6.95,"Dressel 20","Köln","POROCODV","Germany","Military Camp"
"107",14746,50.933333,6.95,"Dressel 20","Köln","APC","Germany","Military Camp"
"108",14767,50.933333,6.95,"Dressel 20","Köln","LPMS","Germany","Military Camp"
"109",14835,50.933333,6.95,"Dressel 20","Köln","RIVES","Germany","Military Camp"
"110",14843,50.933333,6.95,"Dressel 20","Köln","PSA","Germany","Military Camp"
"111",14850,50.933333,6.95,"Dressel 20","Köln","PORPSAPORPSV","Germany","Military Camp"
"112",14863,50.933333,6.95,"Dressel 20","Köln","MSP","Germany","Military Camp"
"113",14868,50.933333,6.95,"Dressel 20","Köln","QSP","Germany","Military Camp"
"114",14894,50.933333,6.95,"Dressel 20","Köln","LSERGISATV","Germany","Military Camp"
"115",14901,50.933333,6.95,"Dressel 20","Köln","SAENIANESSAENIAMES","Germany","Military Camp"
"116",14920,50.933333,6.95,"Dressel 20","Köln","SAXFEREV","Germany","Military Camp"
"117",14921,50.933333,6.95,"Dressel 20","Köln","SAXOVPTI","Germany","Military Camp"
"118",14929,50.933333,6.95,"Dressel 20","Köln","SCALFES","Germany","Military Camp"
"119",14956,50.933333,6.95,"Dressel 20","Köln","QVCCF","Germany","Military Camp"
"120",14959,50.933333,6.95,"Dressel 20","Köln","PVFAVSTTINI","Germany","Military Camp"
"121",14967,50.933333,6.95,"Dressel 20","Köln","LVS","Germany","Military Camp"
"122",14997,50.933333,6.95,"Dressel 20","Köln","VRITTIPV","Germany","Military Camp"
"123",28041,50.933333,6.95,"Dressel 20","Köln","AVGGGNNNPALMACOLEARIFBARB","Germany","Military Camp"
"127",13940,49.984188,8.279096,"Dressel 20","Mainz","GAF","Germany","Military Camp"
"128",13956,49.984188,8.279096,"Dressel 20","Mainz","PORPAH","Germany","Military Camp"
"129",13961,49.984188,8.279096,"Dressel 20","Mainz","SALS","Germany","Military Camp"
"130",13976,49.984188,8.279096,"Dressel 20","Mainz","MAR","Germany","Military Camp"
"131",13979,49.984188,8.279096,"Dressel 20","Mainz","NARC","Germany","Military Camp"
