id,lat,long,type,site,code,country,locationtype
18861,51.733333,6.283333,Dressel 20,Altkalkar,SAXOFERRI,Germany,Military Camp
18862,51.733333,6.283333,Dressel 20,Altkalkar,TATASIATICCI,Germany,Military Camp
18863,51.733333,6.283333,Dressel 20,Altkalkar,QIAF,Germany,Military Camp
14152,48.805827,9.241809,Dressel 20,Bad Cannstatt,MCFRICD,Germany,Military Camp
14294,48.805827,9.241809,Dressel 20,Bad Cannstatt,LFFCV,Germany,Military Camp
14298,48.805827,9.241809,Dressel 20,Bad Cannstatt,LFCCVFC,Germany,Military Camp
14804,48.805827,9.241809,Dressel 20,Bad Cannstatt,LQS,Germany,Military Camp
14993,48.805827,9.241809,Dressel 20,Bad Cannstatt,VIRAV,Germany,Military Camp
14410,49.841396,7.867127,Dressel 20,Bad Kreuznach,HISPSAE,Germany,Military Camp
13970,49.229708,9.156485,Dressel 20,Bad Wimpfen,LA,Germany,Military Camp
13981,49.229708,9.156485,Dressel 20,Bad Wimpfen,CAS,Germany,Military Camp
14090,49.229708,9.156485,Dressel 20,Bad Wimpfen,ACIRCI,Germany,Military Camp
14312,49.229708,9.156485,Dressel 20,Bad Wimpfen,LFCCVFS,Germany,Military Camp
14418,49.229708,9.156485,Dressel 20,Bad Wimpfen,QHEDERAIHEDERAA,Germany,Military Camp
14529,49.229708,9.156485,Dressel 20,Bad Wimpfen,LIT,Germany,Military Camp
14739,49.229708,9.156485,Dressel 20,Bad Wimpfen,PORODV,Germany,Military Camp
20658,49.229708,9.156485,Dressel 20,Bad Wimpfen,LFCCVCAT,Germany,Military Camp
13952,47.968555,10.21178,Dressel 20,Benningen,CAFSMCAFFM,Germany,Military Camp
14589,49.966747,7.899198,Dressel 20,Bingen,IIIVNMELISSIETMELISSE,Germany,Military Camp
14794,49.966747,7.899198,Dressel 20,Bingen,MQFF,Germany,Military Camp
14038,50.73438,7.095485,Dressel 20,Bonn,CANTQVIETI,Germany,Military Camp
14220,50.73438,7.095485,Dressel 20,Bonn,IICAMILIMELISSI,Germany,Military Camp
