"","id","lat","long","type","site","code","country","locationtype"
"4",15814,55.958056,-4.064722,"Dressel 20","Bar Hill","MMACSV","UK","Military Camp"
"5",16450,55.958056,-4.064722,"Dressel 20","Bar Hill","GNAPCO","UK","Military Camp"
"6",16499,55.958056,-4.064722,"Dressel 20","Bar Hill","SNR","UK","Military Camp"
"7",16778,55.958056,-4.064722,"Dressel 20","Bar Hill","LSPBOEQ","UK","Military Camp"
"8",17083,55.958056,-4.064722,"Dressel 20","Bar Hill","VIRAV","UK","Military Camp"
"9",17084,55.958056,-4.064722,"Dressel 20","Bar Hill","VIRGINENSIA","UK","Military Camp"
"10",17200,55.958056,-4.064722,"Dressel 20","Bar Hill","M","UK","Military Camp"
"11",17205,55.958056,-4.064722,"Dressel 20","Bar Hill","MMC","UK","Military Camp"
"12",17217,55.958056,-4.064722,"Dressel 20","Bar Hill","SA","UK","Military Camp"
"18",15704,55.066667,-3.233333,"Dressel 20","Birrens","LCANTP","UK","Military Camp"
"19",15748,55.066667,-3.233333,"Dressel 20","Birrens","LCFPC","UK","Military Camp"
"20",16372,55.066667,-3.233333,"Dressel 20","Birrens","MMRQ","UK","Military Camp"
"21",16551,55.066667,-3.233333,"Dressel 20","Birrens","DOMS","UK","Military Camp"
"22",16877,55.066667,-3.233333,"Dressel 20","Birrens","SCAVE","UK","Military Camp"
"23",17110,55.066667,-3.233333,"Dressel 20","Birrens","AR","UK","Military Camp"
"24",17197,55.066667,-3.233333,"Dressel 20","Birrens","LFI","UK","Military Camp"
"25",15391,53.216667,-3.833333,"Dressel 20","Caerhûn","GAF","UK","Military Camp"
"26",16018,53.216667,-3.833333,"Dressel 20","Caerhûn","LFO","UK","Military Camp"
"27",16307,53.216667,-3.833333,"Dressel 20","Caerhûn","ALFO","UK","Military Camp"
"28",16617,53.216667,-3.833333,"Dressel 20","Caerhûn","PASSERAR","UK","Military Camp"
"29",16870,53.216667,-3.833333,"Dressel 20","Caerhûn","SCALENSIA","UK","Military Camp"
"30",15386,51.613333,-2.958889,"Dressel 20","Caerleon","MAC","UK","Military Camp"
"31",15393,51.613333,-2.958889,"Dressel 20","Caerleon","GAF","UK","Military Camp"
