id,lat,long,type,site,code,place
15599,51.833333,-3.016667,Dressel 20,Abergavenny,CANTONIQVIETI,Britania
16814,51.833333,-3.016667,Dressel 20,Abergavenny,SAENIANES,Britania
15641,56.333333,-3.333333,Dressel 20,Abernethy,PARVA,Britania
15709,56.333333,-3.333333,Dressel 20,Abernethy,FCCVC,Britania
15710,56.333333,-3.333333,Dressel 20,Abernethy,FCCVC,Britania
15906,56.333333,-3.333333,Dressel 20,Abernethy,DES,Britania
15954,56.333333,-3.333333,Dressel 20,Abernethy,LFC,Britania
15955,56.333333,-3.333333,Dressel 20,Abernethy,LFC,Britania
16237,56.333333,-3.333333,Dressel 20,Abernethy,LIVNIMELISSI,Britania
16248,56.333333,-3.333333,Dressel 20,Abernethy,LIVNIMELISSI,Britania
16465,56.333333,-3.333333,Dressel 20,Abernethy,PNN,Britania
16466,56.333333,-3.333333,Dressel 20,Abernethy,PNN,Britania
16467,56.333333,-3.333333,Dressel 20,Abernethy,PNN,Britania
16468,56.333333,-3.333333,Dressel 20,Abernethy,PNN,Britania
16469,56.333333,-3.333333,Dressel 20,Abernethy,PNN,Britania
16886,56.333333,-3.333333,Dressel 20,Abernethy,FSCIMNIANO,Britania
16889,56.333333,-3.333333,Dressel 20,Abernethy,FSCIMNIANO,Britania
16896,56.333333,-3.333333,Dressel 20,Abernethy,FSCIMNIANO,Britania
16900,56.333333,-3.333333,Dressel 20,Abernethy,FSCIMNIANO,Britania
16901,56.333333,-3.333333,Dressel 20,Abernethy,FSCIMNIANO,Britania
16902,56.333333,-3.333333,Dressel 20,Abernethy,FSCIMNIANO,Britania
17147,56.333333,-3.333333,Dressel 20,Abernethy,PQ,Britania
15638,54.083333,-1.383333,Dressel 20,Aldborough,ARVA,Britania
15750,54.083333,-1.383333,Dressel 20,Aldborough,LCFPC,Britania
15901,54.083333,-1.383333,Dressel 20,Aldborough,CEFPR,Britania
16114,54.083333,-1.383333,Dressel 20,Aldborough,CIPALMAB,Britania
16697,54.083333,-1.383333,Dressel 20,Aldborough,RIVS,Britania
17035,54.083333,-1.383333,Dressel 20,Aldborough,QVS,Britania
20494,54.083333,-1.383333,Dressel 20,Aldborough,LCFP,Britania
16376,54.416667,-2.966667,Dressel 20,Ambleside,QMR,Britania
15668,56.25,-3.866667,Dressel 20,Ardoch house,DATSCOL,Britania
16445,56.25,-3.866667,Dressel 20,Ardoch house,IN,Britania
16530,56.25,-3.866667,Dressel 20,Ardoch house,DOMS,Britania
15447,54.966667,-2.333333,Dressel 20,Bardon Mill,TANP,Britania
15872,54.966667,-2.333333,Dressel 20,Bardon Mill,EL,Britania
16263,54.966667,-2.333333,Dressel 20,Bardon Mill,LIVNIMMELISIP,Britania
16380,54.966667,-2.333333,Dressel 20,Bardon Mill,QMR,Britania
16689,54.966667,-2.333333,Dressel 20,Bardon Mill,GRADOS,Britania
18686,54.966667,-2.333333,Dressel 20,Bardon Mill,NIIIIIIN,Britania
18689,54.966667,-2.333333,Dressel 20,Bardon Mill,CANTQVIETI,Britania
18690,54.966667,-2.333333,Dressel 20,Bardon Mill,CANTQVIETI,Britania
18691,54.966667,-2.333333,Dressel 20,Bardon Mill,CANTQ,Britania
