AmphoraIdentifier,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionPlaceTitle
15599,15599,Dressel 20,Abergavenny,Abergavenny,51.833333,-3.016667,|CA^N^T'[ONIQVIETI],CANTONIQVIETI,,Alcolea del Río
16814,16814,Dressel 20,Abergavenny,Abergavenny,51.833333,-3.016667,|SAEN^IA^N^E'S'*,SAENIANES...,,
15641,15641,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PARVA, sine imagine",PARVA,,La Catria
15709,15709,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"FCCVC, sine imagine",FCCVC,,
15710,15710,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"FCCVC, sine imagine",FCCVC,,
15906,15906,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"DES, sine imagine",DES,,
15954,15954,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"LFC, sine imagine",LFC,,Alcotrista
15955,15955,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"LFC, sine imagine",LFC,,Alcotrista
16237,16237,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"LIVNIMELISSI, sine imagine",LIVNIMELISSI,,Las Delicias
16248,16248,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"LIVNIMELISSI, sine imagine",LIVNIMELISSI,,Las Delicias
16465,16465,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,Alcolea del Río
16465,16465,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,Arva
16465,16465,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,El Tejarillo
16465,16465,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,Tostoneras
16466,16466,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,Alcolea del Río
16466,16466,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,Arva
16466,16466,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,El Tejarillo
16466,16466,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,Tostoneras
16467,16467,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,Alcolea del Río
16467,16467,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,Arva
16467,16467,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,El Tejarillo
16467,16467,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,Tostoneras
16468,16468,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,Alcolea del Río
16468,16468,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,Arva
16468,16468,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,El Tejarillo
16468,16468,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,Tostoneras
16469,16469,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,Alcolea del Río
16469,16469,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,Arva
16469,16469,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,El Tejarillo
16469,16469,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,Tostoneras
16886,16886,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"FSCIMNIANO, sine imagine",FSCIMNIANO,,Las Delicias
16889,16889,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"FSCIMNIANO, sine imagine",FSCIMNIANO,,Las Delicias
16896,16896,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"FSCIMNIANO, sine imagine",FSCIMNIANO,,Las Delicias
16900,16900,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"FSCIMNIANO, sine imagine",FSCIMNIANO,,Las Delicias
16901,16901,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"FSCIMNIANO, sine imagine",FSCIMNIANO,,Las Delicias
16902,16902,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"FSCIMNIANO, sine imagine",FSCIMNIANO,,Las Delicias
17147,17147,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"P(--)Q, sine imagine",P...Q,,
15638,15638,Dressel 20,Aldborough,Aldborough,54.083333,-1.383333,*A^RVA|,ARVA,,Arva
15750,15750,Dressel 20,Aldborough,Aldborough,54.083333,-1.383333,|L·C·F·PC[-],LCFPC...,,
15901,15901,Dressel 20,Aldborough,Aldborough,54.083333,-1.383333,|C·E·F·P·R|,CEFPR,,
16114,16114,Dressel 20,Aldborough,Aldborough,54.083333,-1.383333,|CI((palma))B|,CIB,,Peñaflor
16697,16697,Dressel 20,Aldborough,Aldborough,54.083333,-1.383333,"RIVs, sine imagine",RIVS,,
17035,17035,Dressel 20,Aldborough,Aldborough,54.083333,-1.383333,"QVS, sine imagine",QVS,,
20494,20494,Dressel 20,Aldborough,Aldborough,54.083333,-1.383333,[L]CFP|,LCFP,,
16376,16376,Dressel 20,Ambleside,Ambleside,54.416667,-2.966667,"QMR, sine imagine",QMR,,
15668,15668,Dressel 20,Ardoch house,Ardoch,56.25,-3.866667,"DATSCOL, sine imagine",DATSCOL,,Azanaque-Castillejo
16445,16445,Dressel 20,Ardoch house,Ardoch,56.25,-3.866667,"IN, sine imagine",IN,,
16530,16530,Dressel 20,Ardoch house,Ardoch,56.25,-3.866667,"DOMS, sine imagine",DOMS,,Alcolea del Río
