id,lat,long,type,site,code
14081,50.774122,6.084726,Dressel 20,Aachen,ACIRGI
13944,50.382382,6.93291,Dressel 20,Adenau,GAF
14086,50.382382,6.93291,Dressel 20,Adenau,ACIRGI
14036,50.28721,8.944586,Dressel 20,Altenstadt,CANTQVI
14227,50.28721,8.944586,Dressel 20,Altenstadt,PCLICELI
14356,50.28721,8.944586,Dressel 20,Altenstadt,LFFV
14428,50.28721,8.944586,Dressel 20,Altenstadt,QIAFS
14435,50.28721,8.944586,Dressel 20,Altenstadt,QIAF
27368,50.28721,8.944586,Dressel 20,Altenstadt,FLQR
14282,51.733333,6.283333,Dressel 20,Altkalkar,LFC
14370,51.733333,6.283333,Dressel 20,Altkalkar,LFO
18861,51.733333,6.283333,Dressel 20,Altkalkar,SAXOFERRI
18862,51.733333,6.283333,Dressel 20,Altkalkar,TATASIATICCI
18863,51.733333,6.283333,Dressel 20,Altkalkar,QIAF
27386,49.746574,8.115128,Dressel 20,Alzey,QIAFS
27387,49.746574,8.115128,Dressel 20,Alzey,LIVNIMELISSI
27388,49.746574,8.115128,Dressel 20,Alzey,IIIVNMELISSIETMELISSE
27389,49.746574,8.115128,Dressel 20,Alzey,LCHE
27390,49.746574,8.115128,Dressel 20,Alzey,CAEFM
27391,49.746574,8.115128,Dressel 20,Alzey,SLFCL
27392,49.746574,8.115128,Dressel 20,Alzey,CSL
27393,49.746574,8.115128,Dressel 20,Alzey,LCFPC
27394,49.746574,8.115128,Dressel 20,Alzey,POPVLI
27395,49.746574,8.115128,Dressel 20,Alzey,PVAFAV
27396,49.746574,8.115128,Dressel 20,Alzey,QAHVAE
5590,47.733333,10.733333,Dressel 20,Auerberg,QIV
5591,47.733333,10.733333,Dressel 20,Auerberg,SCLC
14152,48.805827,9.241809,Dressel 20,Bad Cannstatt,MCFRICD
14197,48.805827,9.241809,Dressel 20,Bad Cannstatt,MCS
14208,48.805827,9.241809,Dressel 20,Bad Cannstatt,MMCSVR
14210,48.805827,9.241809,Dressel 20,Bad Cannstatt,MMCSANTO
14256,48.805827,9.241809,Dressel 20,Bad Cannstatt,IIIENNIIVL
14294,48.805827,9.241809,Dressel 20,Bad Cannstatt,LFFCV
14298,48.805827,9.241809,Dressel 20,Bad Cannstatt,LFCCVFC
14378,48.805827,9.241809,Dressel 20,Bad Cannstatt,MFS
14500,48.805827,9.241809,Dressel 20,Bad Cannstatt,QIMFS
14520,48.805827,9.241809,Dressel 20,Bad Cannstatt,LIT
14598,48.805827,9.241809,Dressel 20,Bad Cannstatt,ALFO
14674,48.805827,9.241809,Dressel 20,Bad Cannstatt,QNDAND
14714,48.805827,9.241809,Dressel 20,Bad Cannstatt,DOMS
14750,48.805827,9.241809,Dressel 20,Bad Cannstatt,APAMPHORACOAPAMPHORAQCO
14774,48.805827,9.241809,Dressel 20,Bad Cannstatt,QPPHRYX
14804,48.805827,9.241809,Dressel 20,Bad Cannstatt,LQS
