,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,FindingPlaceTitle,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,ProductionDateStartYear,ProductionDateEndYear,ProductionPlaceTitle,CountryTitle
,15599,Dressel 20,Abergavenny,Abergavenny,51.833333,-3.016667,|CA^N^T'[ONIQVIETI],CANTONIQVIETI,,75,150,Alcolea del Río,United Kingdom
,16814,Dressel 20,Abergavenny,Abergavenny,51.833333,-3.016667,|SAEN^IA^N^E'S'*,SAENIANES...,,,,,United Kingdom
,15641,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PARVA, sine imagine",PARVA,,,,La Catria,United Kingdom
,15709,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"FCCVC, sine imagine",FCCVC,,,,,United Kingdom
,15710,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"FCCVC, sine imagine",FCCVC,,,,,United Kingdom
,15906,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"DES, sine imagine",DES,,,,,United Kingdom
,15954,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"LFC, sine imagine",LFC,,,,Alcotrista,United Kingdom
,15955,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"LFC, sine imagine",LFC,,,,Alcotrista,United Kingdom
,16237,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"LIVNIMELISSI, sine imagine",LIVNIMELISSI,,,,Las Delicias,United Kingdom
,16248,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"LIVNIMELISSI, sine imagine",LIVNIMELISSI,,,,Las Delicias,United Kingdom
,16465,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,,,Alcolea del Río,United Kingdom
,16465,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,,,Arva,United Kingdom
,16465,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,,,El Tejarillo,United Kingdom
,16465,Dressel 20,Abernethy,Carpow (Horrea Classis),56.333333,-3.333333,"PNN, sine imagine",PNN,,,,Tostoneras,United Kingdom
