id;lat;long;type;site;code
AmphoraIdentifier;FindingPlaceLatitude;FindingPlaceLongitude;AmphoricTypeTitle;AreaTitle;FULLTRANSCRIPTION
15599;51.833333;-3.016667;Dressel 20;Abergavenny;CANTONIQVIETI
16814;51.833333;-3.016667;Dressel 20;Abergavenny;SAENIANES
15641;56.333333;-3.333333;Dressel 20;Abernethy;PARVA
15709;56.333333;-3.333333;Dressel 20;Abernethy;FCCVC
15710;56.333333;-3.333333;Dressel 20;Abernethy;FCCVC
15906;56.333333;-3.333333;Dressel 20;Abernethy;DES
15954;56.333333;-3.333333;Dressel 20;Abernethy;LFC
15955;56.333333;-3.333333;Dressel 20;Abernethy;LFC
16237;56.333333;-3.333333;Dressel 20;Abernethy;LIVNIMELISSI
16248;56.333333;-3.333333;Dressel 20;Abernethy;LIVNIMELISSI
16465;56.333333;-3.333333;Dressel 20;Abernethy;PNN
16466;56.333333;-3.333333;Dressel 20;Abernethy;PNN
16467;56.333333;-3.333333;Dressel 20;Abernethy;PNN
16468;56.333333;-3.333333;Dressel 20;Abernethy;PNN
16469;56.333333;-3.333333;Dressel 20;Abernethy;PNN
16886;56.333333;-3.333333;Dressel 20;Abernethy;FSCIMNIANO
16889;56.333333;-3.333333;Dressel 20;Abernethy;FSCIMNIANO
16896;56.333333;-3.333333;Dressel 20;Abernethy;FSCIMNIANO
16900;56.333333;-3.333333;Dressel 20;Abernethy;FSCIMNIANO
16901;56.333333;-3.333333;Dressel 20;Abernethy;FSCIMNIANO
16902;56.333333;-3.333333;Dressel 20;Abernethy;FSCIMNIANO
17147;56.333333;-3.333333;Dressel 20;Abernethy;PQ
15638;54.083333;-1.383333;Dressel 20;Aldborough;ARVA
15750;54.083333;-1.383333;Dressel 20;Aldborough;LCFPC
15901;54.083333;-1.383333;Dressel 20;Aldborough;CEFPR
16114;54.083333;-1.383333;Dressel 20;Aldborough;CIPALMAB
16697;54.083333;-1.383333;Dressel 20;Aldborough;RIVS
17035;54.083333;-1.383333;Dressel 20;Aldborough;QVS
20494;54.083333;-1.383333;Dressel 20;Aldborough;LCFP
16376;54.416667;-2.966667;Dressel 20;Ambleside;QMR
15668;56.25;-3.866667;Dressel 20;Ardoch house;DATSCOL
16445;56.25;-3.866667;Dressel 20;Ardoch house;IN
16530;56.25;-3.866667;Dressel 20;Ardoch house;DOMS
15447;54.966667;-2.333333;Dressel 20;Bardon Mill;TANP
15872;54.966667;-2.333333;Dressel 20;Bardon Mill;EL
16263;54.966667;-2.333333;Dressel 20;Bardon Mill;LIVNIMMELISIP
