AreaTitle,AmphoraIdentifier,AmphoricTypeTitle,SimplifiedTranscription,FullTranscription,FindingPlaceLongitude,FindingPlaceLatitude,FindingPlaceTitle,ProductionPlaceTitle,ProductionPlaceLatitude,ProductionPlaceLongitude,CountryTitle,,,,
Aachen,14081,Dressel 20,ACIRGI,"ACIRGI, sine imagine",6.084726,50.774122,Armseelenkapelle des Münsters,Itálica,37.441422,-6.044948,Germany,,,,
Adenau,13944,Dressel 20,GAF,"GAF, sine imagine",6.93291,50.382382,Adenau,Azanaque-Castillejo,37.617631,-5.556263,Germany,,,,
Adenau,14086,Dressel 20,ACIRGI,"ACIRGI, sine imagine",6.93291,50.382382,Kr. Ahrweiler,Itálica,37.441422,-6.044948,Germany,,,,
Altenstadt,14036,Dressel 20,CANTQVIETI,C·A^N^T·QVI*,8.944586,50.28721,"a. 1955/1956, Kastell, Fl. 11, innerer Werhgraben, Periode 5, steth noch in Periode 6 offen.",,,,Germany,,,,
Altenstadt,14227,Dressel 20,PCLICELI,|pCLI·CELI'|,8.944586,50.28721,"a. 1955/1956, Kastell, Fl.. 12, Planierschicht 8, Periode 4.",Arva,37.623647,-5.604665,Germany,,,,
Altenstadt,14356,Dressel 20,LFFV,|LFFV|,8.944586,50.28721,"a. 1955/1956, Kastell.",La Mallena,37.667482,-5.472436,Germany,,,,
Altenstadt,14356,Dressel 20,LFFV,|LFFV|,8.944586,50.28721,"a. 1955/1956, Kastell.",Villar de Brenes,37.536615,-5.900952,Germany,,,,
Altenstadt,14428,Dressel 20,QIAFS,|QIAF'S'|,8.944586,50.28721,"a. 1955/1956, Kastell, Fl.7, Keller 28.",Malpica,37.671559,-5.20847,Germany,,,,
Altenstadt,14435,Dressel 20,QIAFS?,|QI''A'F''(-),8.944586,50.28721,"a. 1955/1956, Kastell, Fläche 11, Grube 63.",Malpica,37.671559,-5.20847,Germany,,,,
Altenstadt,27368,Dressel 20,FLQR,|F·L·Q''[R],8.944586,50.28721,"a. 1955/1956, Kastell.",,,,Germany,,,,
Altkalkar,14282,Dressel 20,LFC,"LFC, sine imagine",6.283333,51.733333,"Burginatium, Kalkar, Kr.Kleve",Alcotrista,37.614189,-5.115609,Germany,,,,
Altkalkar,14370,Dressel 20,LFO,"LFO, sine imagine",6.283333,51.733333,"Burginatium, Kalkar, Kr.Kleve",Sevilla,37.389076,-5.984443,Germany,,,,
Altkalkar,18861,Dressel 20,SAXOFERRI,|SAXOFERRI|,6.283333,51.733333,Altkalkar,,,,Germany,,,,
Altkalkar,18862,Dressel 20,TATASIATICI,|TA^TASIATIC'C'I|,6.283333,51.733333,Altkalkar,Adelfa,37.583256,-5.658615,Germany,,,,
Altkalkar,18862,Dressel 20,TATASIATICI,|TA^TASIATIC'C'I|,6.283333,51.733333,Altkalkar,Guadajoz,37.581745,-5.669186,Germany,,,,
Altkalkar,18862,Dressel 20,TATASIATICI,|TA^TASIATIC'C'I|,6.283333,51.733333,Altkalkar,Juan Barba,37.585268,-5.64988,Germany,,,,
Altkalkar,18863,Dressel 20,QIAF,|QIA!F,6.283333,51.733333,Altkalkar,,,,Germany,,,,
Alzey,27386,Dressel 20,QIAFS,|Q'I''AF''[S],8.115128,49.746574,Kastell.,Malpica,37.671559,-5.20847,Germany,,,,
