,AmphoraIdentifier,AmphoricTypeTitle,AreaTitle,,FindingPlaceLatitude,FindingPlaceLongitude,FullTranscription,SimplifiedTranscription,,,,,,,
,14081,Dressel 20,Aachen,,50.774122,6.084726,"ACIRGI, sine imagine",ACIRGI,,,,,,,
,13944,Dressel 20,Adenau,,50.382382,6.93291,"GAF, sine imagine",GAF,,,,,,,
,14086,Dressel 20,Adenau,,50.382382,6.93291,"ACIRGI, sine imagine",ACIRGI,,,,,,,
,14036,Dressel 20,Altenstadt,,50.28721,8.944586,C·A^N^T·QVI*,CANTQVIETI,,,,,,,
,14227,Dressel 20,Altenstadt,,50.28721,8.944586,|pCLI·CELI'|,PCLICELI,,,,,,,
,14356,Dressel 20,Altenstadt,,50.28721,8.944586,|LFFV|,LFFV,,,,,,,
,14356,Dressel 20,Altenstadt,,50.28721,8.944586,|LFFV|,LFFV,,,,,,,
,14428,Dressel 20,Altenstadt,,50.28721,8.944586,|QIAF'S'|,QIAFS,,,,,,,
,14435,Dressel 20,Altenstadt,,50.28721,8.944586,|QI''A'F''(-),QIAFS?,,,,,,,
,27368,Dressel 20,Altenstadt,,50.28721,8.944586,|F·L·Q''[R],FLQR,,,,,,,
,14282,Dressel 20,Altkalkar,,51.733333,6.283333,"LFC, sine imagine",LFC,,,,,,,
,14370,Dressel 20,Altkalkar,,51.733333,6.283333,"LFO, sine imagine",LFO,,,,,,,
,18861,Dressel 20,Altkalkar,,51.733333,6.283333,|SAXOFERRI|,SAXOFERRI,,,,,,,
,18862,Dressel 20,Altkalkar,,51.733333,6.283333,|TA^TASIATIC'C'I|,TATASIATICI,,,,,,,
,18862,Dressel 20,Altkalkar,,51.733333,6.283333,|TA^TASIATIC'C'I|,TATASIATICI,,,,,,,
,18862,Dressel 20,Altkalkar,,51.733333,6.283333,|TA^TASIATIC'C'I|,TATASIATICI,,,,,,,
,18863,Dressel 20,Altkalkar,,51.733333,6.283333,|QIA!F,QIAF,,,,,,,
,27386,Dressel 20,Alzey,,49.746574,8.115128,|Q'I''AF''[S],QIAFS,,,,,,,
,27387,Dressel 20,Alzey,,49.746574,8.115128,|LIVNIM'/ELIS·S[I],LIVNIMELISSI,,,,,,,
,27388,Dressel 20,Alzey,,49.746574,8.115128,|IIIVN·MEL'I'S''SI/E'T'M'E'[LISSE],IIIVNMELISSIETMELISSE,,,,,,,
